date,store_id,product_id,name,category,shelf_life_days,location,size_sqft,avg_daily_footfall,units_sold,unit_price,promo,day_of_week,is_weekend,is_holiday,temperature,rainfall_mm,humidity_percent
1/1/2024,S001,P001,Milk,Dairy,7,NYC,20000,1200,23,5.18,1,Monday,0,0,71.7,1.53,89.1
1/1/2024,S001,P002,Lettuce,Produce,5,NYC,20000,1200,15,2.5,0,Monday,0,0,76.4,2.8,84.4
1/1/2024,S001,P003,Chicken Breast,Meat,6,NYC,20000,1200,21,5.9,0,Monday,0,0,73,0.02,49.6
1/1/2024,S001,P004,Greek Yogurt,Dairy,10,NYC,20000,1200,25,5,0,Monday,0,0,41.9,3.97,53.8
1/1/2024,S001,P005,Strawberries,Produce,4,NYC,20000,1200,15,3.5,0,Monday,0,0,65.4,2.65,45.4
1/1/2024,S002,P001,Milk,Dairy,7,Boston,15000,900,17,6,0,Monday,0,0,72.7,4.17,89.4
1/1/2024,S002,P002,Lettuce,Produce,5,Boston,15000,900,19,2.5,0,Monday,0,0,45.7,2.37,85.4
1/1/2024,S002,P003,Chicken Breast,Meat,6,Boston,15000,900,21,5.9,0,Monday,0,0,51.3,3.16,67.6
1/1/2024,S002,P004,Greek Yogurt,Dairy,10,Boston,15000,900,17,5,0,Monday,0,0,48,0.34,74.6
1/1/2024,S002,P005,Strawberries,Produce,4,Boston,15000,900,19,3.5,0,Monday,0,0,71.6,0.58,77.4
1/1/2024,S003,P001,Milk,Dairy,7,Chicago,18000,1100,16,6,0,Monday,0,0,59,0.57,50.2
1/1/2024,S003,P002,Lettuce,Produce,5,Chicago,18000,1100,21,2.13,1,Monday,0,1,55.2,0.17,86.7
1/1/2024,S003,P003,Chicken Breast,Meat,6,Chicago,18000,1100,21,5.9,0,Monday,0,0,40.8,1.96,66.3
1/1/2024,S003,P004,Greek Yogurt,Dairy,10,Chicago,18000,1100,17,5,0,Monday,0,0,59,0.22,44.6
1/1/2024,S003,P005,Strawberries,Produce,4,Chicago,18000,1100,22,3.5,0,Monday,0,0,51.5,0.08,59.9
1/2/2024,S001,P001,Milk,Dairy,7,NYC,20000,1200,14,5.05,1,Tuesday,0,0,63.7,2.24,70.1
1/2/2024,S001,P002,Lettuce,Produce,5,NYC,20000,1200,17,2.2,1,Tuesday,0,0,42.9,3.53,57.6
1/2/2024,S001,P003,Chicken Breast,Meat,6,NYC,20000,1200,17,5.9,0,Tuesday,0,0,62.7,2.17,75
1/2/2024,S001,P004,Greek Yogurt,Dairy,10,NYC,20000,1200,21,4.05,1,Tuesday,0,0,53.4,2.62,84.1
1/2/2024,S001,P005,Strawberries,Produce,4,NYC,20000,1200,21,3.5,0,Tuesday,0,0,41.3,1.36,78.6
1/2/2024,S002,P001,Milk,Dairy,7,Boston,15000,900,13,5,1,Tuesday,0,0,40.1,3.28,72.1
1/2/2024,S002,P002,Lettuce,Produce,5,Boston,15000,900,18,2.5,0,Tuesday,0,0,42.3,1.03,65.6
1/2/2024,S002,P003,Chicken Breast,Meat,6,Boston,15000,900,25,5.9,0,Tuesday,0,0,56.9,6.68,52.7
1/2/2024,S002,P004,Greek Yogurt,Dairy,10,Boston,15000,900,17,5,0,Tuesday,0,0,61.8,0.16,62.7
1/2/2024,S002,P005,Strawberries,Produce,4,Boston,15000,900,24,3.5,0,Tuesday,0,0,64,2.48,54.6
1/2/2024,S003,P001,Milk,Dairy,7,Chicago,18000,1100,23,6,0,Tuesday,0,0,64.6,1.54,86.7
1/2/2024,S003,P002,Lettuce,Produce,5,Chicago,18000,1100,24,2.5,0,Tuesday,0,0,48.6,1.3,85.4
1/2/2024,S003,P003,Chicken Breast,Meat,6,Chicago,18000,1100,18,5.9,0,Tuesday,0,0,75.9,1.94,47.8
1/2/2024,S003,P004,Greek Yogurt,Dairy,10,Chicago,18000,1100,26,5,0,Tuesday,0,0,53.4,2.75,81.1
1/2/2024,S003,P005,Strawberries,Produce,4,Chicago,18000,1100,18,3.5,0,Tuesday,0,0,66.8,2.98,75.1
1/3/2024,S001,P001,Milk,Dairy,7,NYC,20000,1200,17,5.02,1,Wednesday,0,0,57.5,0.29,88.8
1/3/2024,S001,P002,Lettuce,Produce,5,NYC,20000,1200,23,2.23,1,Wednesday,0,0,65.6,0.33,63.2
1/3/2024,S001,P003,Chicken Breast,Meat,6,NYC,20000,1200,26,4.95,1,Wednesday,0,0,56.8,0.02,76.1
1/3/2024,S001,P004,Greek Yogurt,Dairy,10,NYC,20000,1200,14,5,0,Wednesday,0,0,65.9,0.21,65.9
1/3/2024,S001,P005,Strawberries,Produce,4,NYC,20000,1200,24,3.5,0,Wednesday,0,0,59.9,0.46,43.5
1/3/2024,S002,P001,Milk,Dairy,7,Boston,15000,900,24,6,0,Wednesday,0,0,72.2,1.92,42.3
1/3/2024,S002,P002,Lettuce,Produce,5,Boston,15000,900,20,2.5,0,Wednesday,0,0,47.7,0.97,46.1
1/3/2024,S002,P003,Chicken Breast,Meat,6,Boston,15000,900,17,5.9,0,Wednesday,0,0,33.5,2.13,54.8
1/3/2024,S002,P004,Greek Yogurt,Dairy,10,Boston,15000,900,27,5,0,Wednesday,0,0,45.4,1,53
1/3/2024,S002,P005,Strawberries,Produce,4,Boston,15000,900,19,3.11,1,Wednesday,0,0,76,1.22,76.4
1/3/2024,S003,P001,Milk,Dairy,7,Chicago,18000,1100,16,6,0,Wednesday,0,0,57.7,0.18,75.8
1/3/2024,S003,P002,Lettuce,Produce,5,Chicago,18000,1100,17,2.23,1,Wednesday,0,0,61.4,2.25,88.6
1/3/2024,S003,P003,Chicken Breast,Meat,6,Chicago,18000,1100,28,5.9,0,Wednesday,0,0,44.2,2.13,55.5
1/3/2024,S003,P004,Greek Yogurt,Dairy,10,Chicago,18000,1100,24,5,0,Wednesday,0,0,61,0.55,86.9
1/3/2024,S003,P005,Strawberries,Produce,4,Chicago,18000,1100,27,3.5,0,Wednesday,0,0,44.7,0.6,70.6
1/4/2024,S001,P001,Milk,Dairy,7,NYC,20000,1200,17,6,0,Thursday,0,0,46.9,0.37,64.8
1/4/2024,S001,P002,Lettuce,Produce,5,NYC,20000,1200,16,2.12,1,Thursday,0,0,54,2.52,73.4
1/4/2024,S001,P003,Chicken Breast,Meat,6,NYC,20000,1200,19,5.9,0,Thursday,0,0,66.7,2.06,75.1
1/4/2024,S001,P004,Greek Yogurt,Dairy,10,NYC,20000,1200,14,5,0,Thursday,0,0,68.3,1.41,48.6
1/4/2024,S001,P005,Strawberries,Produce,4,NYC,20000,1200,29,3.5,0,Thursday,0,0,68.7,0.41,77.6
1/4/2024,S002,P001,Milk,Dairy,7,Boston,15000,900,20,6,0,Thursday,0,0,36.2,0.28,76.3
1/4/2024,S002,P002,Lettuce,Produce,5,Boston,15000,900,32,2.5,0,Thursday,0,0,59.9,0.08,89.9
1/4/2024,S002,P003,Chicken Breast,Meat,6,Boston,15000,900,20,5.9,0,Thursday,0,0,57,0.07,85.6
1/4/2024,S002,P004,Greek Yogurt,Dairy,10,Boston,15000,900,17,5,0,Thursday,0,0,37,0.31,74.2
1/4/2024,S002,P005,Strawberries,Produce,4,Boston,15000,900,21,3.5,0,Thursday,0,0,60.2,0.16,75.6
1/4/2024,S003,P001,Milk,Dairy,7,Chicago,18000,1100,10,6,0,Thursday,0,0,56.2,1.22,87.3
